U,n,merge,count,radix
2,2,7.152557373046875e-06,2.86102294921875e-06,1.0967254638671875e-05
2,4,8.821487426757812e-06,2.1457672119140625e-06,1.0967254638671875e-05
2,8,1.811981201171875e-05,2.86102294921875e-06,2.1219253540039062e-05
2,16,4.220008850097656e-05,4.0531158447265625e-06,3.1948089599609375e-05
2,32,9.965896606445312e-05,9.226799011230469e-05,6.890296936035156e-05
2,64,0.0002167224884033203,1.0967254638671875e-05,0.0001289844512939453
2,128,0.0004799365997314453,2.09808349609375e-05,0.0002722740173339844
2,256,0.0010471343994140625,3.886222839355469e-05,0.0005321502685546875
2,512,0.0022530555725097656,7.772445678710938e-05,0.0011210441589355469
2,1024,0.004506826400756836,0.0001468658447265625,0.002494335174560547
2,2048,0.009388923645019531,0.00028896331787109375,0.0042841434478759766
2,4096,0.01979207992553711,0.0005190372467041016,0.007358074188232422
2,8192,0.0380406379699707,0.0009379386901855469,0.01605701446533203
2,16384,0.07742524147033691,0.001767873764038086,0.030169248580932617
2,32768,0.1621549129486084,0.003537893295288086,0.06309819221496582
2,65536,0.3831160068511963,0.009552001953125,0.20760893821716309
2,131072,0.8232877254486084,0.018310070037841797,0.40251803398132324
2,262144,1.5510611534118652,0.03355002403259277,0.9533951282501221
2,524288,3.3315682411193848,0.07934379577636719,1.9780089855194092
4,2,1.1920928955078125e-05,4.0531158447265625e-06,1.9788742065429688e-05
4,4,7.867813110351562e-06,1.9073486328125e-06,1.1205673217773438e-05
4,8,1.5735626220703125e-05,3.0994415283203125e-06,1.7881393432617188e-05
4,16,3.695487976074219e-05,4.0531158447265625e-06,3.0994415283203125e-05
4,32,8.320808410644531e-05,6.9141387939453125e-06,5.602836608886719e-05
4,64,0.0001881122589111328,1.0967254638671875e-05,0.00013184547424316406
4,128,0.0004220008850097656,2.09808349609375e-05,0.0002238750457763672
4,256,0.0009379386901855469,3.886222839355469e-05,0.0004851818084716797
4,512,0.0020318031311035156,8.130073547363281e-05,0.0011227130889892578
4,1024,0.004436016082763672,0.00014209747314453125,0.0018780231475830078
4,2048,0.009362936019897461,0.00027108192443847656,0.003948211669921875
4,4096,0.017774105072021484,0.0004742145538330078,0.007470846176147461
4,8192,0.03795289993286133,0.0009300708770751953,0.013947010040283203
4,16384,0.07637405395507812,0.0017230510711669922,0.02723979949951172
